reference_model,comparison_model,dataset,relation,n,MAE,Spearman_rho,mean_signed_difference,mean_reference_score,mean_comparison_score
DeepSeek-V4-Flash,glm-5.3-flash,4forums,quote,100,0.09171111111111112,0.9057050444933309,-0.03,0.5599333333333333,0.5299333333333334
DeepSeek-V4-Flash,glm-5.3-flash,4forums,reply,100,0.07536999999999999,0.9301621498355698,-0.0072900000000000065,0.56592,0.55863
DeepSeek-V4-Flash,glm-5.3-flash,createdebate,reply,100,0.0664,0.9375292550487468,-0.022239999999999992,0.63357,0.61133
DeepSeek-V4-Flash,doubao-seed-2-0-lite-260215,4forums,quote,100,0.11015555555555555,0.8772689642859994,-0.0222888888888889,0.5599333333333333,0.5376444444444445
DeepSeek-V4-Flash,doubao-seed-2-0-lite-260215,4forums,reply,100,0.10667,0.85701768232267,0.011569999999999992,0.56592,0.57749
DeepSeek-V4-Flash,doubao-seed-2-0-lite-260215,createdebate,reply,100,0.1011,0.8637018410097181,0.008919999999999999,0.63357,0.64249
